Aasta,Kuu,Päev,Kell (UTC),Tunni keskmine summaarne kiirgus W/m²,Õhurõhk merepinna kõrgusel hPa,Õhurõhk jaama kõrgusel hPa,Tunni sademete summa mm,Suhteline õhuniiskus %,Õhutemperatuur °C,Tunni miinimum õhutemperatuur °C,Tunni maksimum õhutemperatuur °C,10 minuti keskmine tuule suund °,10 minuti keskmine tuule kiirus m/s,Tunni maksimum tuule kiirus m/s
"2023","12","30","0:00","0","993.0","992.8","0.0","99","1.8","1.7","2.1","180","3.3","6.8"
"2023","12","30","1:00","0","993.1","992.9","0.0","99","1.9","1.8","2.1","177","3.9","6.7"
"2023","12","30","2:00","0","993.1","992.9","0.0","99","1.5","1.5","2.0","186","3.7","7.8"
"2023","12","30","3:00","0","993.1","992.9","0.0","99","2.1","1.4","2.1","172","3.4","7.0"
"2023","12","30","4:00","0","993.1","992.9","0.1","100","1.9","1.9","2.2","179","3.3","6.8"
"2023","12","30","5:00","0","993.2","993.0","0.7","99","1.7","1.7","2.7","190","3.0","6.1"
"2023","12","30","6:00","0","993.2","993.0","0.0","99","1.3","1.2","1.7","181","1.9","5.7"
"2023","12","30","7:00","0","993.6","993.4","0.0","99","1.4","1.2","1.6","171","2.0","4.2"
"2023","12","30","8:00","7","994.0","993.8","0.0","99","2.4","1.4","2.4","169","3.1","5.2"
"2023","12","30","9:00","26","994.2","994.0","0.0","98","1.7","1.7","2.4","144","1.3","4.5"
"2023","12","30","10:00","35","994.2","994.0","0.0","99","1.8","1.5","1.9","141","2.0","2.8"
"2023","12","30","11:00","38","994.4","994.2","0.0","99","2.1","1.7","2.1","165","2.3","3.7"
"2023","12","30","12:00","23","994.4","994.2","0.1","99","2.0","1.8","2.2","173","3.0","5.0"
"2023","12","30","13:00","18","994.8","994.6","0.2","99","1.3","1.2","2.1","197","2.3","4.2"
"2023","12","30","14:00","4","995.2","995.0","0.2","98","1.6","1.3","2.1","231","1.7","4.5"
"2023","12","30","15:00","0","995.6","995.4","0.1","99","2.7","1.6","2.7","264","2.3","3.2"
"2023","12","30","16:00","0","996.4","996.2","0.0","97","3.1","2.6","3.3","254","3.0","5.3"
"2023","12","30","17:00","0","997.2","997.0","0.5","94","2.7","2.6","3.2","269","4.2","7.0"
"2023","12","30","18:00","0","997.9","997.7","0.0","95","1.8","1.8","2.7","259","3.3","8.2"
"2023","12","30","19:00","0","998.5","998.3","0.0","97","1.5","1.5","1.8","241","3.0","4.5"
"2023","12","30","20:00","0","999.2","999.0","0.1","97","1.7","1.4","1.8","268","2.6","4.7"
"2023","12","30","21:00","0","1000.2","1000.0","0.1","94","1.1","1.1","1.7","331","3.6","6.6"
"2023","12","30","22:00","0","1001.5","1001.3","0.2","94","0.3","0.3","1.1","332","3.5","7.9"
"2023","12","30","23:00","0","1002.9","1002.7","0.1","89","-0.6","-0.6","0.3","349","5.3","8.6"
"2023","12","31","0:00","0","1004.2","1004.0","0.0","84","-0.9","-0.9","-0.6","350","5.8","10.6"
"2023","12","31","1:00","0","1005.3","1005.1","0.0","89","-1.1","-1.1","-0.8","342","4.4","7.7"
"2023","12","31","2:00","0","1006.4","1006.2","0.0","91","-1.4","-1.5","-1.1","344","3.0","7.8"
"2023","12","31","3:00","0","1007.6","1007.4","0.0","89","-2.0","-2.0","-1.3","337","4.6","8.9"
"2023","12","31","4:00","0","1008.8","1008.6","0.0","88","-2.6","-2.6","-1.9","333","4.3","8.7"
"2023","12","31","5:00","0","1009.7","1009.5","0.0","86","-3.4","-3.4","-2.5","338","4.1","10.4"
"2023","12","31","6:00","0","1010.7","1010.5","0.0","88","-4.4","-4.4","-3.3","338","3.8","8.8"
"2023","12","31","7:00","0","1011.6","1011.4","0.0","84","-4.7","-4.8","-4.3","352","5.5","8.6"
"2023","12","31","8:00","4","1012.8","1012.6","0.0","84","-5.0","-5.1","-4.6","346","3.9","10.4"
"2023","12","31","9:00","14","1014.1","1013.9","0.0","83","-5.3","-5.4","-4.8","350","3.8","6.8"
"2023","12","31","10:00","29","1014.8","1014.6","0.0","87","-5.8","-6.0","-5.2","338","3.6","6.7"
"2023","12","31","11:00","35","1015.3","1015.1","0.0","83","-6.1","-6.3","-5.6","341","3.5","6.7"
"2023","12","31","12:00","33","1015.5","1015.3","0.0","81","-6.2","-6.5","-6.0","9","4.0","7.4"
"2023","12","31","13:00","20","1015.8","1015.6","0.0","78","-6.2","-6.3","-5.9","12","3.6","5.9"
"2023","12","31","14:00","4","1016.3","1016.1","0.0","81","-6.0","-6.3","-6.0","16","4.3","6.3"
"2023","12","31","15:00","0","1016.4","1016.3","0.0","80","-6.3","-6.4","-5.9","355","4.1","6.1"
"2023","12","31","16:00","0","1016.7","1016.5","0.0","80","-6.7","-6.7","-6.3","357","3.7","6.5"
"2023","12","31","17:00","0","1016.9","1016.7","0.0","81","-7.2","-7.2","-6.6","5","4.5","7.0"
"2023","12","31","18:00","0","1017.5","1017.3","0.0","80","-7.2","-7.5","-7.1","4","4.4","7.2"
"2023","12","31","19:00","0","1017.7","1017.5","0.0","82","-6.8","-7.3","-6.8","360","3.5","6.1"
"2023","12","31","20:00","0","1017.8","1017.6","0.0","80","-7.0","-7.1","-6.8","42","3.2","6.7"
"2023","12","31","21:00","0","1018.2","1018.0","0.0","79","-6.9","-7.2","-6.8","37","3.7","6.9"
"2023","12","31","22:00","0","1018.3","1018.1","0.0","77","-7.0","-7.1","-6.8","33","2.7","6.6"
"2023","12","31","23:00","-1","1018.1","1017.9","0.0","73","-7.2","-7.2","-6.8","35","2.4","6.3"
