Aasta,Kuu,Päev,Kell (UTC),Tunni keskmine summaarne kiirgus W/m²,Õhurõhk merepinna kõrgusel hPa,Õhurõhk jaama kõrgusel hPa,Tunni sademete summa mm,Suhteline õhuniiskus %,Õhutemperatuur °C,Tunni miinimum õhutemperatuur °C,Tunni maksimum õhutemperatuur °C,10 minuti keskmine tuule suund °,10 minuti keskmine tuule kiirus m/s,Tunni maksimum tuule kiirus m/s
2024,3,3,0:00,0,1023.4,1023.4,0.0,94,0.6,0.6,0.6,112,2.6,4.8
2024,3,3,1:00,0,1023.3,1023.3,0.0,93,0.4,0.4,0.4,106,2.1,4.8
2024,3,3,2:00,0,1023.1,1023.1,0.0,95,-0.1,-0.1,-0.1,101,1.7,3.5
2024,3,3,3:00,0,1022.8,1022.8,0.0,93,0.2,0.2,0.2,129,3.1,5.3
2024,3,3,4:00,0,1022.7,1022.7,0.0,93,0,0,0,124,3.1,5.4
2024,3,3,5:00,0,1022.6,1022.6,0.0,94,-0.3,-0.3,-0.3,134,2.7,6
2024,3,3,6:00,0,1022.4,1022.4,0.0,95,-0.4,-0.4,-0.4,136,3,6
2024,3,3,7:00,0,1022.3,1022.3,0.0,95,-0.7,-0.7,-0.7,139,3.3,0
2024,3,3,8:00,0,1022.7,1022.7,0.0,95,-0.5,-0.5,-0.5,139,2.9,5.5
2024,3,3,9:00,0,1022.7,1022.7,0.0,90,0.8,0.8,0.8,142,3.2,5.8
2024,3,3,10:00,0,1022.8,1022.8,0.0,82,2.6,2.6,2.6,138,2.2,5.7
2024,3,3,11:00,0,1022.8,1022.8,0.0,77,3.8,3.8,3.8,121,2.4,4.1
2024,3,3,12:00,0,1022.7,1022.7,0.0,71,5.1,5.1,5.1,121,3.9,6.2
2024,3,3,13:00,0,1022.4,1022.4,0.0,68,6,6,6,142,3.8,6.6
2024,3,3,14:00,0,1022.3,1022.3,0.0,68,6.6,6.6,6.6,137,3.8,6.6
2024,3,3,15:00,0,1022,1022,0.0,62,7,7,7,155,3.2,5.4
2024,3,3,16:00,0,1021.9,1021.9,0.0,61,7.5,7.5,7.5,139,1.8,4.9
2024,3,3,17:00,0,1022.1,1022.1,0.0,69,5.9,5.9,5.9,126,4,6.7
2024,3,3,18:00,0,1022.2,1022.2,0.0,74,4.1,4.1,4.1,136,2.7,6
2024,3,3,19:00,0,1022.6,1022.6,0.0,81,2.8,2.8,2.8,121,2,3.8
2024,3,3,20:00,0,1022.8,1022.8,0.0,80,2.5,2.5,2.5,124,2.4,4.5
2024,3,3,21:00,0,1022.8,1022.8,0.0,82,2.3,2.3,2.3,141,2.7,5.1
2024,3,3,22:00,0,1023,1023,0.0,83,1.7,1.7,1.7,146,3.2,5.4
2024,3,3,23:00,0,1023.2,1023.2,0.0,83,1.2,1.2,1.2,150,3.2,5.3
2024,3,4,0:00,0,1023.4,1023.4,0.0,86,0.4,0.4,0.4,145,1.8,4.8
2024,3,4,1:00,0,1023.6,1023.6,0.0,87,-0.1,-0.1,-0.1,142,1.4,2.9
2024,3,4,2:00,0,1023.7,1023.7,0.0,88,-0.9,-0.9,-0.9,109,1,3.1
2024,3,4,3:00,0,1023.8,1023.8,0.0,87,-0.7,-0.7,-0.7,145,1.4,2.4
2024,3,4,4:00,0,1023.8,1023.8,0.0,87,-0.8,-0.8,-0.8,130,1.1,2.3
2024,3,4,5:00,0,1023.9,1023.9,0.0,87,-1,-1,-1,126,1.3,2.3
2024,3,4,6:00,0,1023.9,1023.9,0.0,86,-1.3,-1.3,-1.3,106,0.9,2.1
2024,3,4,7:00,0,1024.1,1024.1,0.0,95,-3.2,-3.2,-3.2,43,1.4,2.3
2024,3,4,8:00,0,1024.5,1024.5,0.0,91,-1.9,-1.9,-1.9,63,1.6,2.2
2024,3,4,9:00,0,1024.6,1024.6,0.0,83,-0.1,-0.1,-0.1,75,1.2,2.7
2024,3,4,10:00,0,1024.7,1024.7,0.0,72,2.2,2.2,2.2,104,1.3,2.3
2024,3,4,11:00,0,1025.1,1025.1,0.0,69,3.1,3.1,3.1,29,2.6,3.7
2024,3,4,12:00,0,1025.7,1025.7,0.0,90,1.1,1.1,1.1,30,4.4,6.8
2024,3,4,13:00,0,1025.6,1025.6,0.0,83,2,2,2,36,3.3,5.4
2024,3,4,14:00,0,1025.6,1025.6,0.0,88,1.3,1.3,1.3,33,4.9,7.6
2024,3,4,15:00,0,1025.5,1025.5,0.0,87,1.1,1.1,1.1,39,3.9,8
2024,3,4,16:00,0,1025.4,1025.4,0.0,84,1.8,1.8,1.8,34,3.8,6
2024,3,4,17:00,0,1025.1,1025.1,0.0,86,1.2,1.2,1.2,38,2.8,6.5
2024,3,4,18:00,0,1025.8,1025.8,0.0,90,0.2,0.2,0.2,40,3.7,6.6
2024,3,4,19:00,0,1026.1,1026.1,0.0,89,0.4,0.4,0.4,50,2.9,6.6
2024,3,4,20:00,0,1026.6,1026.6,0.0,81,1.3,1.3,1.3,68,4.2,6.9
2024,3,4,21:00,0,1027,1027,0.0,89,0.8,0.8,0.8,45,3.4,7
2024,3,4,22:00,0,1018.3,1018.1,0.0,77,-7.0,-7.1,-6.8,33,2.7,6.6
2024,3,4,23:00,0,1018.1,1017.9,0.0,73,-7.2,-7.2,-6.8,35,2.4,6.3
